Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.11,Architecture,Architecture & Design,1995-01-17,Y,10,https://www.moma.org/collection/works/10,https://www.moma.org/media/W1siZiIsIjUyNzUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fd6cca6e5eaa12d8,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.14,Architecture,Architecture & Design,1995-01-17,Y,60,https://www.moma.org/collection/works/60,https://www.moma.org/media/W1siZiIsIjUyNzc4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3cc8338ad2209105,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photographs,"Each: 14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.1-24,Architecture,Architecture & Design,1995-01-17,Y,8,https://www.moma.org/collection/works/8,https://www.moma.org/media/W1siZiIsIjUyNzUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bb83636021a3bb91,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.1,Architecture,Architecture & Design,1995-01-17,Y,7,https://www.moma.org/collection/works/7,https://www.moma.org/media/W1siZiIsIjUyNzUyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d172aa966e03ed80,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.17,Architecture,Architecture & Design,1995-01-17,Y,16,https://www.moma.org/collection/works/16,https://www.moma.org/media/W1siZiIsIjUyNzUyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0fad721785cf4354,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.6,Architecture,Architecture & Design,1995-01-17,Y,28,https://www.moma.org/collection/works/28,https://www.moma.org/media/W1siZiIsIjUyNzU0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bd0024459b6137cc,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.10,Architecture,Architecture & Design,1995-01-17,Y,9,https://www.moma.org/collection/works/9,,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980,Photographic reproduction with colored synthetic laminate,"Each: 20 x 20"" (50.8 x 50.8 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,8.1995,Architecture,Architecture & Design,1995-01-17,Y,52,https://www.moma.org/collection/works/52,https://www.moma.org/media/W1siZiIsIjUyNzc1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=63393623adefcbd0,,,,,50.8,,,50.8,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and photographs on tracing paper,"Each: 19 x 31"" (48.2 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.1-14,Architecture,Architecture & Design,1995-01-17,Y,55,https://www.moma.org/collection/works/55,https://www.moma.org/media/W1siZiIsIjUyNzc3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ab336ad9a7d2d99e,,,,,48.2,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.10,Architecture,Architecture & Design,1995-01-17,Y,56,https://www.moma.org/collection/works/56,https://www.moma.org/media/W1siZiIsIjUyNzc3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=20c7834ef320b274,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.8,Architecture,Architecture & Design,1995-01-17,Y,30,https://www.moma.org/collection/works/30,https://www.moma.org/media/W1siZiIsIjUyNzU0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4d671cca5198113c,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1979,Ink and photographic reproductions on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.9,Architecture,Architecture & Design,1995-01-17,Y,50,https://www.moma.org/collection/works/50,,,,,,121.9,,,61.0,,
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980,Photographic reproduction with colored synthetic laminate,"20 x 20""(50.8 x 50.8 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,6.1995,Architecture,Architecture & Design,1995-01-17,Y,38,https://www.moma.org/collection/works/38,https://www.moma.org/media/W1siZiIsIjUyNzcxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ab3cb4352bfb394f,,,,,50.8,,,50.8,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.11,Architecture,Architecture & Design,1995-01-17,Y,57,https://www.moma.org/collection/works/57,https://www.moma.org/media/W1siZiIsIjUyNzc3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f4b4d87eec5878dd,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.12,Architecture,Architecture & Design,1995-01-17,Y,58,https://www.moma.org/collection/works/58,https://www.moma.org/media/W1siZiIsIjUyNzc3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=81ab4d8df5d92804,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.7,Architecture,Architecture & Design,1995-01-17,Y,29,https://www.moma.org/collection/works/29,https://www.moma.org/media/W1siZiIsIjUyNzU0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7dcac19ddeb0b9ca,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.1,Architecture,Architecture & Design,1995-01-17,Y,54,https://www.moma.org/collection/works/54,,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1976-77,Gelatin silver photograph,"14 x 18"" (35.6 x 45.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,3.1995.9,Architecture,Architecture & Design,1995-01-17,Y,31,https://www.moma.org/collection/works/31,https://www.moma.org/media/W1siZiIsIjUyNzU0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ded5689521f07c84,,,,,35.6,,,45.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 2: The Street (Border Crossing)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1978,"Ink, charcoal, graphite, cut-and-pasted photographic reproductions, Letraset type, and color pencil on tracing paper","24 x 322"" (61 x 817.9 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,5.1995,Architecture,Architecture & Design,1995-01-17,Y,35,https://www.moma.org/collection/works/35,,,,,,60.9601,,,817.8816,,
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 2: The Street (Border Crossing)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980,Photographic reproduction with colored synthetic laminate,"20 x 20"" (50.8 X 50.8 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,4.1995,Architecture,Architecture & Design,1995-01-17,Y,33,https://www.moma.org/collection/works/33,https://www.moma.org/media/W1siZiIsIjUyNzY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c526747c1409c8f1,,,,,50.8,,,50.8,,
"Exodus, or the Voluntary Prisoners of Architecture: Prologue","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","6956, 7558, 6957, 7559","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",(Dutch) (British) (Dutch) (British),(1944) (1937) (1945) (1937),(0) (0) (0) (0),(male) (male) (female) (female),1972,Gelatin silver photographs on board,"16 1/4 x 11 1/2"" (41.3 x 29.2 cm)
","Patricia Phelps de Cisneros Purchase Fund, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",360.1996,Architecture,Architecture & Design,1996-02-25,Y,390,https://www.moma.org/collection/works/390,https://www.moma.org/media/W1siZiIsIjUyNzU5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e172f4e6d79306bf,,,,,46.4,,,34.0,,
"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,"Cut-and-pasted gelatin silver photographs and photolithographs with ink, crayon, and felt-tipped pen on paper","16 x 11 1/2"" (40.6 x 29.2 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",361.1996,Architecture,Architecture & Design,1996-09-25,Y,392,https://www.moma.org/collection/works/392,https://www.moma.org/media/W1siZiIsIjUyNzU5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c7522da2c1706925,,,,,46.0,,,33.3,,
"Exodus, or the Voluntary Prisoners of Architecture: The Strip (Aerial Perspective)","Madelon Vriesendorp, Zoe Zenghelis, Elia Zenghelis, Rem Koolhaas","6957, 7559, 7558, 6956","(Dutch, born 1945) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1944)",(Dutch) (British) (British) (Dutch),(1945) (1937) (1937) (1944),(0) (0) (0) (0),(female) (female) (male) (male),1972,"Cut-and-pasted paper with watercolor, ink, gouache, and color pencil on gelatin silver photograph","16 x 19 7/8"" (40.6 x 50.5 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",362.1996,Architecture,Architecture & Design,1996-09-25,Y,104692,https://www.moma.org/collection/works/104692,https://www.moma.org/media/W1siZiIsIjUyNzU5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d3410a60ffc28cf0,,,,,40.6401,,,50.4826,,
"Parc de la Villette Project, Paris, France (Plan)",Zaha Hadid,6953,"(British, born Iraq. 1950–2016)",(British),(1950),(2016),(female),1982-83,Ten photoelectrostatic prints on polymer sheets between synthetic polymer sheets with metal screws and supports,"(Each): 11 3/4 x 16 3/4"" (29.8 x 42.5 cm)",Gift of the architect in honor of Philip Johnson,357.1996.12.a-j,Architecture,Architecture & Design,1996-09-25,Y,367,https://www.moma.org/collection/works/367,https://www.moma.org/media/W1siZiIsIjIxMTE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0028781c14c63785,,,2.9,,42.9,,,30.5,,
"Jewish Museum Project, Judenplatz, Vienna, Austria  Project, Exterior perspective",Raimund Abraham,47,"(American, born Austria. 1933–2010)",(American),(1933),(2010),(male),1992,Photocopy-transfer and acrylic,"24 x 31 1/2"" (61 x 80 cm) (sight)",Gift of the architect in honor of Philip Johnson,343.1996,Architecture,Architecture & Design,1996-09-25,Y,335,https://www.moma.org/collection/works/335,https://www.moma.org/media/W1siZiIsIjUyNzU1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b53b2f3aa1133446,,,,,61.0,,,80.0,,
"Re-ruined Hiroshima, Hiroshima, Japan (Perspective)",Arata Isozaki,2837,"(Japanese, born 1931)",(Japanese),(1931),(0),(male),1990,Silkscreen after a photo collage original,"34 3/4 x 117"" (88.3 x 297.2 cm)",Gift of the architect in honor of Philip Johnson,359.1996,Architecture,Architecture & Design,1996-09-25,Y,387,https://www.moma.org/collection/works/387,,,,5.7,,98.5,,,307.4,,
"Exodus, or the Voluntary Prisoners of Architecture: The Strip","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","6956, 7558, 6957, 7559","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",(Dutch) (British) (Dutch) (British),(1944) (1937) (1945) (1937),(0) (0) (0) (0),(male) (male) (female) (female),1972,"Cut-and-pasted paper and painted paper with ink, pen, and graphite on photolithograph","19 3/4 x 25 7/8"" (50.2 x 65.7 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",363.1996,Architecture,Architecture & Design,1996-09-25,Y,104693,https://www.moma.org/collection/works/104693,https://www.moma.org/media/W1siZiIsIjUyNzU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e6bee20eec1dad0e,,,,,50.1651,,,65.7226,,
"Exodus, or the Voluntary Prisoners of Architecture: The Allotments","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,"Cut-and-pasted paper, marbleized paper, and photolithographs with ink and watercolor on paper","11 1/2 x 16 1/2"" (29.2 x 41.9 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",374.1996,Architecture,Architecture & Design,1996-09-25,Y,431,https://www.moma.org/collection/works/431,https://www.moma.org/media/W1siZiIsIjUyNzYxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=383fc1050da06106,,,,,33.3,,,46.0,,
"Exodus, or the Voluntary Prisoners of Architecture: The Baths","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,"Cut-and-pasted paper, photolithograph, and gelatin silver photographs with ink on paper","16 1/8 x 11 1/2"" (41 x 29.2 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",369.1996,Architecture,Architecture & Design,1996-09-25,Y,413,https://www.moma.org/collection/works/413,https://www.moma.org/media/W1siZiIsIjUyNzYwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d894d324caeeb362,,,,,46.0,,,33.3,,
"House for Venice Biennale project, Venice, Italy (Aerial view of model)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photograph on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,392.1996,Architecture,Architecture & Design,1996-09-25,Y,506,https://www.moma.org/collection/works/506,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (Collaborators on project)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,391.1996,Architecture,Architecture & Design,1996-09-25,Y,501,https://www.moma.org/collection/works/501,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (Analysis of project)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,390.1996,Architecture,Architecture & Design,1996-09-25,Y,496,https://www.moma.org/collection/works/496,,,,,,101.6,,,101.6,,
"House for Venice Biennale project, Venice, Italy (Analysis of project)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,389.1996,Architecture,Architecture & Design,1996-09-25,Y,491,https://www.moma.org/collection/works/491,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (Aerial view)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,386.1996,Architecture,Architecture & Design,1996-09-25,Y,477,https://www.moma.org/collection/works/477,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (Multiple views of project)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage with colored pencil on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,385.1996,Architecture,Architecture & Design,1996-09-25,Y,473,https://www.moma.org/collection/works/473,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (View of Model: multiple exterior views of project)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage with colored pencil on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,384.1996,Architecture,Architecture & Design,1996-09-25,Y,469,https://www.moma.org/collection/works/469,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (Aerial views)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,383.1996,Architecture,Architecture & Design,1996-09-25,Y,465,https://www.moma.org/collection/works/465,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale, project, Venice, Italy, Plans",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Color pencil and photostat on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,382.1996,Architecture,Architecture & Design,1996-09-25,Y,461,https://www.moma.org/collection/works/461,https://www.moma.org/media/W1siZiIsIjUyNzYyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d602836e460ad1fd,,,,,102.6,,,102.6,,
"House for Venice Biennale project, Venice, Italy (Written analysis of project)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photostat on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,381.1996,Architecture,Architecture & Design,1996-09-25,Y,457,https://www.moma.org/collection/works/457,,,,,,101.6002,,,101.6002,,
"House for Venice Biennale project, Venice, Italy (Title board: aerial view of model)",Cesar Pelli,7528,"(American, born Argentina 1926)",(American),(1926),(0),(male),1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,379.1996,Architecture,Architecture & Design,1996-09-25,Y,449,https://www.moma.org/collection/works/449,,,,,,101.6002,,,101.6002,,
"Exodus, or the Voluntary Prisoners of Architecture: The Avowal","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,Cut-and-pasted photolithographs and gelatin silver photographs with ink and watercolor on paper,"11 3/8 x 16"" (28.9 x 40.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",376.1996,Architecture,Architecture & Design,1996-09-25,Y,438,https://www.moma.org/collection/works/438,https://www.moma.org/media/W1siZiIsIjUyNzYxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b907c216d9244191,,,,,33.0,,,45.7,,
"Exodus, or the Voluntary Prisoners of Architecture: The Allotments","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,Cut-and-pasted photolithographs on paper,"11 1/2 x 15 3/4"" (29.2 x 40 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",375.1996,Architecture,Architecture & Design,1996-09-25,Y,435,https://www.moma.org/collection/works/435,https://www.moma.org/media/W1siZiIsIjUyNzYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=af3ccf9fbbcd083e,,,,,33.7,,,44.5,,
"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,Gelatin silver photograph with color ink,"10 1/2 x 14 1/2"" (26.7 x 36.8 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",364.1996,Architecture,Architecture & Design,1996-09-25,Y,401,https://www.moma.org/collection/works/401,https://www.moma.org/media/W1siZiIsIjIxMTE3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bfe1b636dc06f842,,,,,30.8,,,41.6,,
"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(male) (male) (female) (female),1972,Cut-and-pasted photolithographs and gelatin photograph on paper,"10 5/8 x 14 1/2"" (27 x 36.8 cm)
","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",366.1996,Architecture,Architecture & Design,1996-09-25,Y,406,https://www.moma.org/collection/works/406,https://www.moma.org/media/W1siZiIsIjUyNzU5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8e7e443923ef9a78,,,,,31.8,,,41.3,,
