Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Parc de la Villette, Paris, France (Follies and Galleries, isometrics)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1986,Gouache and color ink on gelatin silver photograph,"34 x 50"" (86.3 x 127 cm)",Purchase,429.1992,Architecture,Architecture & Design,1992-10-21,Y,625,https://www.moma.org/collection/works/625,https://www.moma.org/media/W1siZiIsIjUyNzY3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=237749042411b859,,,,,86.3,,,127.0,,
"Austrian Cultural Institute, New York, New York, Exterior perspective,",Raimund Abraham,47,"(American, born Austria. 1933–2010)",(American),(1933),(2010),(male),1993,"Photocopy, photocopy on vellum, laser photocopy, graphite, and color pencil on paper","36 x 36"" (91.4 x 91.4 cm)",Gift of the architect,350.1993,Architecture,Architecture & Design,1993-01-14,Y,342,https://www.moma.org/collection/works/342,https://www.moma.org/media/W1siZiIsIjUyNzU2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d85747e664dfa516,,,,,91.4402,,,91.4402,,
"Le Fresnoy, National Studio for Contemporary Arts, Tourcoing, France, Cinematic beams elevation",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1992,Color ink on photographic line print,"23 1/4 x 31 1/4"" (59 x 79.4 cm)",Gift of the architect in honor of Lily Auchincloss,386.1994,Architecture,Architecture & Design,1994-09-21,Y,476,https://www.moma.org/collection/works/476,https://www.moma.org/media/W1siZiIsIjUyNzYzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c835098eb95f22b0,,,,,59.0,,,79.4,,
"Casa de Retiro Espiritual, Córdoba, Spain, Aerial axonometric",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(1943),(0),(male),1979,Airbrush and graphite on gelatin silver photograph mounted on foamcore,"30 5/8 x 25 15/16"" (77.8 x 65.9 cm)",Gift of the architect in honor of Lily Auchincloss,370.1994,Architecture,Architecture & Design,1994-09-21,Y,415,https://www.moma.org/collection/works/415,https://www.moma.org/media/W1siZiIsIjUyNzYwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1327379b58108e9f,,,,,77.8,,,65.9,,
"Slow House Project, North Haven, Long Island, New York, Perspective and plans of TV in Picture Window Apparatus,","Diller + Scofidio, Ricardo Scofidio, Elizabeth Diller","8707, 6952, 6951","(est. 1981) (American, born 1935) (American, born Poland 1954)",(American) (American) (American),(1981) (1935) (1954),(0) (0) (0),() (male) (female),1991,Cut-and-pasted color electrostatic prints and graphite on frosted polymer sheet taped to board with cut-and-pasted color photograph,"12 3/8 x 18 3/8"" (31.4 x 46.7 cm)",Gift of the architects in honor of Lily Auchincloss,377.1994,Architecture,Architecture & Design,1994-09-21,Y,440,https://www.moma.org/collection/works/440,https://www.moma.org/media/W1siZiIsIjUyNzYxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=13a8ca4f941d2781,,,,,31.4,,,46.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.4,Architecture,Architecture & Design,1995-01-17,Y,63,https://www.moma.org/collection/works/63,https://www.moma.org/media/W1siZiIsIjUyNzc4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3934f564c43478ea,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.9,Architecture,Architecture & Design,1995-01-17,Y,68,https://www.moma.org/collection/works/68,https://www.moma.org/media/W1siZiIsIjUyNzc4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ee2de5ec9a69578c,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.8,Architecture,Architecture & Design,1995-01-17,Y,67,https://www.moma.org/collection/works/67,https://www.moma.org/media/W1siZiIsIjUyNzc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c377d9c27b26671,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.7,Architecture,Architecture & Design,1995-01-17,Y,66,https://www.moma.org/collection/works/66,https://www.moma.org/media/W1siZiIsIjUyNzc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1be5ad50cd1b8133,,,,,48.3,,,78.7,,
"The Manhattan Transcripts Project, New York, New York, Episode 4: The Block",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980-81,Ink and cut-and-pasted gelatin silver photographs on tracing paper,"19 x 31"" (48.3 x 78.7 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,9.1995.6,Architecture,Architecture & Design,1995-01-17,Y,65,https://www.moma.org/collection/works/65,https://www.moma.org/media/W1siZiIsIjUyNzc4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9306c7f67f4869bb,,,,,48.3,,,78.7,,
